#z [m]	|p [pa]
0.065751	|802941.383076
0.065863	|802941.442441
0.065975	|802941.501806
0.066087	|802941.561171
0.066199	|802941.620535
0.066311	|802941.679899
0.066423	|802941.739263
0.066535	|802941.798626
0.066647	|802941.857989
0.066759	|802941.917352
0.066871	|802941.976714
0.066983	|802942.036076
0.067095	|802942.095437
0.067207	|802942.154798
0.067319	|802942.214159
0.067431	|802942.273519
0.067543	|802942.332880
0.067655	|802942.392239
0.067767	|802942.451599
0.067879	|802942.510958
0.067991	|802942.570316
0.068103	|802942.629675
0.068215	|802942.689033
0.068327	|802942.748390
0.068439	|802942.807747
0.068551	|802942.867104
0.068663	|802942.926461
0.068775	|802942.985817
0.068887	|802943.045173
0.068999	|802943.104528
0.069111	|802943.163883
0.069223	|802943.223238
0.069335	|802943.282592
0.069447	|802943.341946
0.069559	|802943.401300
0.069671	|802943.460653
0.069783	|802943.520006
0.069895	|802943.579359
0.070007	|802943.638711
0.070119	|802943.698063
0.070231	|802943.757414
0.070343	|802943.816766
0.070455	|802943.876116
0.070567	|802943.935467
0.070679	|802943.994817
0.070791	|802944.054167
0.070903	|802944.113516
0.071015	|802944.172865
0.071127	|802944.232214
0.071239	|802944.291562
0.071351	|802944.350910
0.071463	|802944.410258
0.071575	|802944.469605
0.071687	|802944.528952
0.071799	|802944.588298
0.071911	|802944.647644
0.072023	|802944.706990
0.072135	|802944.766336
0.072247	|802944.825681
0.072359	|802944.885025
0.072471	|802944.944370
0.072583	|802945.003714
0.072695	|802945.063058
0.072807	|802945.122401
0.072919	|802945.181744
0.073031	|802945.241086
0.073143	|802945.300429
0.073255	|802945.359771
0.073367	|802945.419112
0.073479	|802945.478453
0.073591	|802945.537794
0.073703	|802945.597135
0.073815	|802945.656475
0.073927	|802945.715814
0.074039	|802945.775154
0.074151	|802945.834493
0.074263	|802945.893832
0.074375	|802945.953170
0.074487	|802946.012508
0.074599	|802946.071846
0.074711	|802946.131183
0.074823	|802946.190520
0.074935	|802946.249856
0.075048	|802946.309192
0.075160	|802946.368528
0.075272	|802946.427864
0.075384	|802946.487199
0.075496	|802946.546534
0.075608	|802946.605868
0.075720	|802946.665202
0.075832	|802946.724536
0.075944	|802946.783869
0.076056	|802946.843202
0.076168	|802946.902535
0.076280	|802946.961867
0.076392	|802947.021199
0.076504	|802947.080531
0.076616	|802947.139862
0.076728	|802947.199193
0.076840	|802947.258523
0.076952	|802947.317853
0.077064	|802947.377183
0.077176	|802947.436512
0.077288	|802947.495841
0.077400	|802947.555170
0.077512	|802947.614499
0.077624	|802947.673827
0.077736	|802947.733154
0.077848	|802947.792482
0.077960	|802947.851808
0.078072	|802947.911135
0.078184	|802947.970461
0.078296	|802948.029787
0.078408	|802948.089113
0.078520	|802948.148438
0.078632	|802948.207763
0.078744	|802948.267087
0.078856	|802948.326411
0.078968	|802948.385735
0.079080	|802948.445058
0.079192	|802948.504381
0.079304	|802948.563704
0.079416	|802948.623026
0.079528	|802948.682348
0.079640	|802948.741670
0.079752	|802948.800991
0.079864	|802948.860312
0.079976	|802948.919632
0.080088	|802948.978953
0.080200	|802949.038272
0.080312	|802949.097592
0.080424	|802949.156911
0.080536	|802949.216230
0.080648	|802949.275548
0.080760	|802949.334866
0.080872	|802949.394184
0.080984	|802949.453501
0.081096	|802949.512818
0.081208	|802949.572135
0.081320	|802949.631451
0.081432	|802949.690767
0.081544	|802949.750082
0.081656	|802949.809398
0.081768	|802949.868712
0.081880	|802949.928027
0.081992	|802949.987341
0.082104	|802950.046655
0.082216	|802950.105968
0.082328	|802950.165281
0.082440	|802950.224594
0.082552	|802950.283906
0.082664	|802950.343218
0.082776	|802950.402530
0.082888	|802950.461841
0.083000	|802950.521152
0.083112	|802950.580463
0.083224	|802950.639773
0.083336	|802950.699083
0.083448	|802950.758392
0.083560	|802950.817701
0.083672	|802950.877010
0.083784	|802950.936319
0.083896	|802950.995627
0.084008	|802951.054934
0.084120	|802951.114242
0.084232	|802951.173549
0.084344	|802951.232855
0.084456	|802951.292162
0.084568	|802951.351468
0.084680	|802951.410773
0.084792	|802951.470079
0.084904	|802951.529383
0.085017	|802951.588688
0.085129	|802951.647992
0.085241	|802951.707296
0.085353	|802951.766599
0.085465	|802951.825902
0.085577	|802951.885205
0.085689	|802951.944508
0.085801	|802952.003810
0.085913	|802952.063111
0.086025	|802952.122413
0.086137	|802952.181714
0.086249	|802952.241014
0.086361	|802952.300314
0.086473	|802952.359614
0.086585	|802952.418914
0.086697	|802952.478213
0.086809	|802952.537512
0.086921	|802952.596810
0.087033	|802952.656109
0.087145	|802952.715406
0.087257	|802952.774704
0.087369	|802952.834001
0.087481	|802952.893297
0.087593	|802952.952594
0.087705	|802953.011890
0.087817	|802953.071185
0.087929	|802953.130481
0.088041	|802953.189776
0.088153	|802953.249070
0.088265	|802953.308364
0.088377	|802953.367658
0.088489	|802953.426952
0.088601	|802953.486245
0.088713	|802953.545538
0.088825	|802953.604830
0.088937	|802953.664122
0.089049	|802953.723414
0.089161	|802953.782705
0.089273	|802953.841996
0.089385	|802953.901287
0.089497	|802953.960577
0.089609	|802954.019867
0.089721	|802954.079157
0.089833	|802954.138446
0.089945	|802954.197735
0.090057	|802954.257024
0.090169	|802954.316312
0.090281	|802954.375600
0.090393	|802954.434887
0.090505	|802954.494174
0.090617	|802954.553461
0.090729	|802954.612747
0.090841	|802954.672033
0.090953	|802954.731319
0.091065	|802954.790604
0.091177	|802954.849889
0.091289	|802954.909174
0.091401	|802954.968458
0.091513	|802955.027742
0.091625	|802955.087026
0.091737	|802955.146309
0.091849	|802955.205592
0.091961	|802955.264874
0.092073	|802955.324156
0.092185	|802955.383438
0.092297	|802955.442720
0.092409	|802955.502001
0.092521	|802955.561281
0.092633	|802955.620562
0.092745	|802955.679842
0.092857	|802955.739122
0.092969	|802955.798401
0.093081	|802955.857680
0.093193	|802955.916958
0.093305	|802955.976237
0.093417	|802956.035514
0.093529	|802956.094792
0.093641	|802956.154069
0.093753	|802956.213346
0.093865	|802956.272622
0.093977	|802956.331899
0.094089	|802956.391174
0.094201	|802956.450450
0.094313	|802956.509725
0.094425	|802956.568999
0.094537	|802956.628274
0.094649	|802956.687548
0.094761	|802956.746821
0.094873	|802956.806095
0.094985	|802956.865368
0.095098	|802956.924640
0.095210	|802956.983912
0.095322	|802957.043184
0.095434	|802957.102456
0.095546	|802957.161727
0.095658	|802957.220998
0.095770	|802957.280268
0.095882	|802957.339538
0.095994	|802957.398808
0.096106	|802957.458077
0.096218	|802957.517346
0.096330	|802957.576615
0.096442	|802957.635883
0.096554	|802957.695151
0.096666	|802957.754419
0.096778	|802957.813686
0.096890	|802957.872953
0.097002	|802957.932219
0.097114	|802957.991486
0.097226	|802958.050751
0.097338	|802958.110017
0.097450	|802958.169282
0.097562	|802958.228547
0.097674	|802958.287811
0.097786	|802958.347075
0.097898	|802958.406339
0.098010	|802958.465602
0.098122	|802958.524865
0.098234	|802958.584128
0.098346	|802958.643390
0.098458	|802958.702652
0.098570	|802958.761914
0.098682	|802958.821175
0.098794	|802958.880436
0.098906	|802958.939696
0.099018	|802958.998956
0.099130	|802959.058216
0.099242	|802959.117476
0.099354	|802959.176735
0.099466	|802959.235993
0.099578	|802959.295252
0.099690	|802959.354510
0.099802	|802959.413767
0.099914	|802959.473025
0.100026	|802959.532282
0.100138	|802959.591538
0.100250	|802959.650795
0.100362	|802959.710050
0.100474	|802959.769306
0.100586	|802959.828561
0.100698	|802959.887816
0.100810	|802959.947071
0.100922	|802960.006325
0.101034	|802960.065578
0.101146	|802960.124832
0.101258	|802960.184085
0.101370	|802960.243338
0.101482	|802960.302590
0.101594	|802960.361842
0.101706	|802960.421094
0.101818	|802960.480345
0.101930	|802960.539596
0.102042	|802960.598846
0.102154	|802960.658097
0.102266	|802960.717346
0.102378	|802960.776596
0.102490	|802960.835845
0.102602	|802960.895094
0.102714	|802960.954342
0.102826	|802961.013591
0.102938	|802961.072838
0.103050	|802961.132086
0.103162	|802961.191333
0.103274	|802961.250579
0.103386	|802961.309826
0.103498	|802961.369072
0.103610	|802961.428317
0.103722	|802961.487563
0.103834	|802961.546808
0.103946	|802961.606052
0.104058	|802961.665296
0.104170	|802961.724540
0.104282	|802961.783784
0.104394	|802961.843027
0.104506	|802961.902270
0.104618	|802961.961512
0.104730	|802962.020754
0.104842	|802962.079996
0.104954	|802962.139237
0.105067	|802962.198478
0.105179	|802962.257719
0.105291	|802962.316959
0.105403	|802962.376199
0.105515	|802962.435439
0.105627	|802962.494678
0.105739	|802962.553917
0.105851	|802962.613155
0.105963	|802962.672394
0.106075	|802962.731631
0.106187	|802962.790869
0.106299	|802962.850106
0.106411	|802962.909343
0.106523	|802962.968579
0.106635	|802963.027815
0.106747	|802963.087051
0.106859	|802963.146286
0.106971	|802963.205521
0.107083	|802963.264756
0.107195	|802963.323990
0.107307	|802963.383224
0.107419	|802963.442458
0.107531	|802963.501691
0.107643	|802963.560924
0.107755	|802963.620156
0.107867	|802963.679389
0.107979	|802963.738620
0.108091	|802963.797852
0.108203	|802963.857083
0.108315	|802963.916314
0.108427	|802963.975544
0.108539	|802964.034774
0.108651	|802964.094004
0.108763	|802964.153233
0.108875	|802964.212462
0.108987	|802964.271691
0.109099	|802964.330919
0.109211	|802964.390147
0.109323	|802964.449375
0.109435	|802964.508602
0.109547	|802964.567829
0.109659	|802964.627055
0.109771	|802964.686281
0.109883	|802964.745507
0.109995	|802964.804733
0.110107	|802964.863958
0.110219	|802964.923182
0.110331	|802964.982407
0.110443	|802965.041631
0.110555	|802965.100855
0.110667	|802965.160078
0.110779	|802965.219301
0.110891	|802965.278523
0.111003	|802965.337746
0.111115	|802965.396968
0.111227	|802965.456189
0.111339	|802965.515410
0.111451	|802965.574631
0.111563	|802965.633852
0.111675	|802965.693072
0.111787	|802965.752292
0.111899	|802965.811511
0.112011	|802965.870730
0.112123	|802965.929949
0.112235	|802965.989167
0.112347	|802966.048385
0.112459	|802966.107603
0.112571	|802966.166820
0.112683	|802966.226037
0.112795	|802966.285254
0.112907	|802966.344470
0.113019	|802966.403686
0.113131	|802966.462902
0.113243	|802966.522117
0.113355	|802966.581332
0.113467	|802966.640546
0.113579	|802966.699760
0.113691	|802966.758974
0.113803	|802966.818187
0.113915	|802966.877401
0.114027	|802966.936613
0.114139	|802966.995826
0.114251	|802967.055038
0.114363	|802967.114249
0.114475	|802967.173461
0.114587	|802967.232672
0.114699	|802967.291882
0.114811	|802967.351092
0.114923	|802967.410302
0.115036	|802967.469512
0.115148	|802967.528721
0.115260	|802967.587930
0.115372	|802967.647138
0.115484	|802967.706346
0.115596	|802967.765554
0.115708	|802967.824762
0.115820	|802967.883969
0.115932	|802967.943175
0.116044	|802968.002382
0.116156	|802968.061588
0.116268	|802968.120793
0.116380	|802968.179999
0.116492	|802968.239204
0.116604	|802968.298408
0.116716	|802968.357613
0.116828	|802968.416816
0.116940	|802968.476020
0.117052	|802968.535223
0.117164	|802968.594426
0.117276	|802968.653628
0.117388	|802968.712831
0.117500	|802968.772032
0.117612	|802968.831234
0.117724	|802968.890435
0.117836	|802968.949636
0.117948	|802969.008836
0.118060	|802969.068036
0.118172	|802969.127236
0.118284	|802969.186435
0.118396	|802969.245634
0.118508	|802969.304832
0.118620	|802969.364031
0.118732	|802969.423229
0.118844	|802969.482426
0.118956	|802969.541623
0.119068	|802969.600820
0.119180	|802969.660017
0.119292	|802969.719213
0.119404	|802969.778408
0.119516	|802969.837604
0.119628	|802969.896799
0.119740	|802969.955994
0.119852	|802970.015188
0.119964	|802970.074382
0.120076	|802970.133576
0.120188	|802970.192769
0.120300	|802970.251962
0.120412	|802970.311154
0.120524	|802970.370347
0.120636	|802970.429539
0.120748	|802970.488730
0.120860	|802970.547921
0.120972	|802970.607112
0.121084	|802970.666303
0.121196	|802970.725493
0.121308	|802970.784682
0.121420	|802970.843872
0.121532	|802970.903061
